[2025-01-22T13:38:40.770259+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770388+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770420+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770448+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770492+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770518+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770544+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770607+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770691+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770717+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770741+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770766+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770793+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770820+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770844+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770868+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770892+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:40.770918+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:40) [] []
[2025-01-22T13:38:50.827229+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:38:50) [] []
